order_id,customer_id,product_id,quantity,unit_price,currency,country,order_status,payment_method,order_timestamp
O000001,C00023,P0012,1,161.32,EUR,India,PENDING,Net Banking,2026-02-20 05:04:25
O000002,C00993,P0350,5,170.12,EUR,Canada,CANCELLED,PayPal,2026-03-16 05:53:25
O000003,C00215,P0251,5,460.78,USD,Germany,PENDING,Debit Card,2026-03-20 04:03:25
O000004,C01404,P0348,4,453.94,USD,USA,PENDING,UPI,2026-03-27 18:48:25
O000005,C00240,P0077,3,473.92,EUR,Canada,PENDING,PayPal,2026-04-06 08:43:25
O000006,C00531,P0317,4,98.92,USD,UK,CANCELLED,Credit Card,2026-04-11 02:59:25
O000007,C00723,P0374,2,144.06,USD,Germany,PENDING,PayPal,2026-04-21 03:14:25
O000008,C00510,P0090,2,219.42,USD,India,COMPLETED,UPI,2026-04-05 05:25:25
O000009,C00712,P0140,5,73.46,USD,Germany,PENDING,Credit Card,2026-02-22 01:07:25
O000010,C01136,P0240,5,347.15,USD,UK,CANCELLED,UPI,2026-04-27 14:17:25
O000011,C01280,P0230,5,201.01,EUR,USA,COMPLETED,UPI,2026-03-22 15:33:25
O000012,C00532,P0491,1,305.52,USD,Canada,CANCELLED,UPI,2026-04-15 02:20:25
O000013,C00815,P0211,4,281.61,GBP,Canada,CANCELLED,UPI,2026-03-13 02:12:25
O000014,C01409,P0338,5,456.92,USD,Germany,CANCELLED,PayPal,2026-05-10 05:25:25
O000015,C00958,P0183,1,447.16,USD,Canada,COMPLETED,PayPal,2026-05-03 04:56:25
O000016,C00226,P0417,3,390.78,EUR,Canada,CANCELLED,Credit Card,2026-03-09 00:06:25
O000017,C01346,P0327,2,108.0,INR,Germany,COMPLETED,PayPal,2026-03-07 15:12:25
O000018,C01006,P0392,3,384.56,INR,Germany,CANCELLED,Debit Card,2026-03-27 06:31:25
O000019,C00282,P0492,2,138.64,GBP,Canada,PENDING,UPI,2026-03-06 09:53:25
O000020,C01450,P0020,1,418.54,USD,India,CANCELLED,UPI,2026-04-24 02:07:25
O000021,C00862,P0024,3,341.93,EUR,UK,COMPLETED,UPI,2026-04-18 04:17:25
O000022,C00768,P0250,3,184.35,GBP,UK,COMPLETED,Credit Card,2026-04-04 14:40:25
O000023,C01416,P0079,3,93.18,EUR,UK,PENDING,Credit Card,2026-04-19 09:16:25
O000024,C01096,P0241,3,239.9,EUR,India,PENDING,UPI,2026-03-28 03:42:25
O000025,C00381,P0089,1,440.71,USD,Canada,PENDING,UPI,2026-04-06 02:22:25
O000026,C00253,P0380,3,318.87,USD,Germany,CANCELLED,Credit Card,2026-02-16 08:03:25
O000027,C00651,P0200,1,247.25,USD,Canada,PENDING,UPI,2026-02-22 11:48:25
